val,status,message
234201483295,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201701513,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201603605,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201542834,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201541865,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201638886,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201576312,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201806200,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201805926,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201828730,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201647190,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201841479,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201386332,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201820565,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201613384,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201186231,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201670883,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201707420,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201548344,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201545587,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201545388,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201643572,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201552372,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201471761,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201554742,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201746120,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201673657,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201547877,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201441628,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201548662,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201657173,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201793413,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201793350,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201803580,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201578118,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201791912,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201781444,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201556795,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201793526,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201793534,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201555147,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201816083,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201815430,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201557573,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201579144,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201546938,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201790395,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201801113,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201802865,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201749461,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201550887,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
